id,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,previous,y
180,40,management,married,tertiary,no,384,no,no,cellular,200,3,failure,no
181,55,management,married,secondary,no,2693,no,no,cellular,182,1,success,yes
182,31,services,single,secondary,no,187,yes,no,cellular,241,1,failure,no
183,28,admin.,single,secondary,no,242,yes,yes,cellular,256,1,failure,no
184,28,technician,married,secondary,no,7102,yes,no,cellular,156,3,failure,no
185,45,admin.,married,secondary,no,985,yes,no,telephone,156,1,failure,no
186,28,admin.,single,tertiary,no,373,yes,no,cellular,78,1,other,no
187,44,admin.,married,secondary,no,429,yes,yes,cellular,35,3,failure,no
188,32,student,single,tertiary,no,64,no,no,cellular,598,4,failure,yes
189,29,self-employed,single,tertiary,no,805,no,no,cellular,302,2,success,no
190,40,admin.,single,secondary,no,2040,yes,no,cellular,906,2,failure,yes
191,31,management,single,tertiary,no,816,yes,no,cellular,302,1,failure,no
192,33,self-employed,single,tertiary,no,658,yes,no,cellular,307,1,success,yes
193,29,management,single,tertiary,no,874,yes,no,cellular,231,1,success,yes
194,41,blue-collar,married,secondary,no,140,yes,no,cellular,96,1,failure,no
195,53,technician,married,secondary,no,2818,yes,no,cellular,131,1,failure,no
196,41,blue-collar,married,secondary,no,563,yes,no,cellular,142,12,failure,no
197,38,admin.,divorced,secondary,no,19,yes,no,cellular,1130,3,success,yes
198,35,unemployed,married,secondary,no,978,no,no,cellular,1370,3,success,yes
199,39,blue-collar,married,secondary,no,171,yes,yes,cellular,153,1,failure,no
200,39,services,married,primary,no,324,yes,no,cellular,340,2,failure,no
201,44,technician,married,secondary,no,-199,no,no,cellular,692,2,failure,no
202,35,technician,divorced,secondary,no,2823,yes,no,cellular,102,4,failure,no
203,31,management,married,tertiary,no,877,no,no,cellular,209,1,success,yes
204,36,entrepreneur,single,secondary,no,296,no,no,cellular,67,2,failure,no
205,37,unemployed,single,tertiary,no,1316,yes,no,cellular,350,2,failure,yes
206,30,technician,single,secondary,no,853,no,no,cellular,279,1,failure,yes
207,33,management,married,tertiary,no,1778,no,no,cellular,134,1,success,no
208,35,unemployed,married,secondary,no,977,yes,no,cellular,52,4,other,no
209,32,blue-collar,single,primary,no,528,yes,no,cellular,219,1,failure,no
210,54,services,divorced,secondary,no,1012,yes,no,cellular,33,3,other,no
211,33,management,single,tertiary,no,312,no,no,cellular,271,1,failure,no
212,29,student,single,secondary,no,314,no,no,cellular,415,2,failure,yes
213,37,blue-collar,single,secondary,no,90,yes,no,cellular,416,1,failure,no
214,29,student,single,secondary,no,949,yes,no,cellular,109,2,success,no
215,37,admin.,single,primary,no,912,yes,no,cellular,637,3,other,yes
216,37,management,married,tertiary,no,539,no,no,cellular,540,2,failure,no
217,43,management,married,primary,no,8167,yes,no,telephone,202,2,failure,no
218,41,admin.,divorced,secondary,no,220,yes,no,cellular,142,2,failure,no
219,30,management,married,tertiary,no,740,yes,yes,cellular,242,3,other,no
220,29,blue-collar,single,secondary,no,314,yes,no,cellular,161,1,other,no
221,40,services,divorced,secondary,no,5766,yes,yes,cellular,68,2,failure,no
222,41,blue-collar,married,primary,no,201,yes,no,cellular,69,1,success,no
223,27,technician,single,tertiary,no,11862,no,no,cellular,217,1,failure,yes
224,53,services,married,secondary,no,367,yes,yes,cellular,155,1,failure,no
225,26,unemployed,single,secondary,no,632,no,no,cellular,312,3,success,yes
226,37,self-employed,divorced,secondary,no,-38,yes,no,cellular,165,1,failure,no
227,38,management,divorced,tertiary,no,4335,yes,no,cellular,157,7,failure,no
228,28,blue-collar,single,primary,no,431,yes,no,cellular,68,2,failure,no
229,30,blue-collar,single,secondary,no,180,no,no,cellular,203,1,failure,no
230,32,management,married,tertiary,no,1331,no,no,cellular,93,1,success,no
231,25,technician,single,secondary,no,505,no,yes,cellular,386,2,unknown,yes
232,44,services,married,primary,no,1161,yes,no,cellular,402,1,failure,no
233,30,management,single,tertiary,no,61,yes,no,telephone,36,7,other,no
234,35,technician,divorced,secondary,no,44,yes,yes,cellular,366,1,failure,no
235,50,management,married,secondary,no,268,no,no,cellular,74,2,failure,no
236,28,admin.,single,secondary,no,520,yes,no,cellular,113,1,failure,no
237,61,admin.,divorced,tertiary,no,89,no,no,cellular,141,2,other,no
238,31,technician,single,secondary,no,579,yes,yes,cellular,469,3,other,no
239,93,retired,married,unknown,no,775,no,no,cellular,476,2,success,yes
240,51,blue-collar,married,primary,no,1203,yes,yes,telephone,25,4,failure,no
241,47,blue-collar,married,secondary,no,2173,yes,no,cellular,189,3,failure,no
242,44,technician,married,secondary,no,10888,yes,no,cellular,67,1,failure,no
243,35,blue-collar,single,tertiary,no,1011,yes,no,cellular,36,2,failure,no
244,35,technician,married,secondary,no,1368,no,no,cellular,329,1,other,yes
245,26,admin.,single,tertiary,no,760,yes,no,cellular,164,2,success,no
246,21,blue-collar,married,primary,no,-172,yes,yes,cellular,409,1,failure,yes
247,35,technician,married,secondary,no,5553,yes,no,cellular,371,3,failure,no
248,41,admin.,married,secondary,no,1010,yes,no,cellular,47,1,failure,no
249,70,retired,married,primary,no,324,no,no,cellular,632,1,other,yes
250,31,services,divorced,secondary,no,62,yes,no,cellular,56,3,other,no
251,53,blue-collar,married,primary,no,2144,yes,no,cellular,217,2,failure,no
252,30,management,single,tertiary,no,54,yes,yes,cellular,192,1,failure,no
253,33,management,single,tertiary,no,417,yes,no,cellular,170,2,failure,no
254,62,retired,married,secondary,no,569,no,no,cellular,187,2,success,yes
255,47,management,single,tertiary,no,86,no,no,cellular,387,3,success,yes
256,27,management,single,tertiary,no,592,no,no,cellular,667,1,failure,no
257,50,blue-collar,married,primary,no,104,yes,no,cellular,317,3,other,no
258,50,management,married,secondary,no,42,yes,no,cellular,85,2,other,no
259,46,admin.,divorced,secondary,no,2087,no,no,cellular,111,1,other,no
260,35,technician,divorced,secondary,no,2823,yes,no,cellular,74,1,failure,no
261,43,technician,married,secondary,no,0,yes,yes,cellular,539,8,failure,no
262,38,services,divorced,primary,no,0,yes,no,cellular,355,3,failure,no
263,32,management,married,tertiary,no,913,yes,no,cellular,883,1,failure,no
264,28,technician,single,secondary,no,1532,no,no,cellular,253,1,failure,no
265,52,blue-collar,single,secondary,no,201,yes,no,cellular,412,1,other,no
266,42,management,married,primary,no,-679,yes,yes,cellular,159,1,failure,no
267,58,management,married,tertiary,no,256,no,no,cellular,508,1,success,no
268,48,unemployed,divorced,secondary,no,201,no,no,cellular,406,2,success,yes
269,41,management,divorced,tertiary,no,3426,no,no,cellular,302,1,success,no
270,37,management,married,tertiary,no,57,no,no,cellular,96,2,success,no
271,66,retired,married,primary,no,1004,no,no,cellular,154,1,success,no
272,88,retired,married,secondary,no,433,no,no,telephone,161,1,failure,no
273,57,retired,married,secondary,no,1044,no,no,telephone,567,1,success,yes
274,33,blue-collar,married,secondary,no,331,yes,no,cellular,178,7,other,no
275,34,technician,single,secondary,no,1259,yes,no,cellular,379,2,failure,no
276,33,services,married,secondary,no,255,yes,yes,cellular,237,4,failure,no
277,31,technician,married,tertiary,no,-256,yes,no,cellular,272,1,failure,no
278,38,services,married,secondary,no,5000,no,no,cellular,720,5,failure,no
279,38,admin.,married,secondary,no,766,yes,no,cellular,461,2,failure,no
280,32,blue-collar,single,secondary,no,1721,yes,no,cellular,184,2,failure,no
281,66,retired,married,unknown,no,2540,no,no,telephone,441,2,other,yes
282,45,blue-collar,married,secondary,no,1678,yes,no,unknown,187,1,failure,no
283,47,entrepreneur,married,unknown,no,1481,yes,no,cellular,64,2,failure,no
284,43,technician,married,tertiary,no,591,yes,no,cellular,123,4,failure,no
285,64,retired,married,secondary,no,4787,no,no,cellular,392,1,success,yes
286,50,admin.,divorced,secondary,no,124,yes,yes,cellular,367,2,failure,no
287,70,retired,married,secondary,no,1164,no,no,telephone,338,3,failure,no
288,40,blue-collar,married,primary,no,2495,yes,no,cellular,135,2,other,no
289,29,admin.,single,secondary,no,710,yes,yes,cellular,51,1,failure,no
290,45,technician,married,secondary,no,858,no,no,cellular,617,4,failure,no
291,29,blue-collar,single,secondary,no,369,yes,no,cellular,174,5,failure,no
292,30,management,single,tertiary,no,536,no,no,cellular,244,1,success,yes
293,34,blue-collar,married,secondary,no,175,yes,no,cellular,50,2,failure,no
294,36,services,married,secondary,no,0,yes,no,cellular,215,3,failure,no
295,53,technician,divorced,secondary,no,388,yes,yes,cellular,67,1,failure,no
296,38,services,married,secondary,no,507,yes,no,cellular,55,1,failure,no
297,48,housemaid,single,primary,no,46,no,no,cellular,113,2,failure,yes
298,45,admin.,single,secondary,no,375,no,yes,unknown,10,1,failure,no
299,65,entrepreneur,married,tertiary,no,2331,no,no,telephone,290,1,success,yes
300,57,blue-collar,married,primary,no,3109,no,no,cellular,107,2,success,yes
301,47,services,married,secondary,no,367,yes,no,cellular,309,1,success,yes
302,41,blue-collar,married,primary,no,-7,yes,no,cellular,104,2,failure,no
303,58,blue-collar,married,secondary,no,1859,yes,no,cellular,277,2,failure,no
304,57,technician,married,primary,no,592,no,yes,telephone,88,6,other,no
305,35,self-employed,married,tertiary,no,980,no,no,cellular,428,2,failure,no
306,36,admin.,married,tertiary,no,1145,yes,no,cellular,75,1,failure,no
307,30,admin.,married,secondary,no,873,yes,no,telephone,119,1,success,no
308,35,technician,single,tertiary,no,992,yes,no,telephone,1416,1,failure,no
309,60,admin.,married,secondary,no,4348,yes,no,cellular,131,2,other,no
310,39,blue-collar,married,secondary,no,4430,yes,no,cellular,13,4,other,no
311,50,housemaid,divorced,secondary,no,0,no,no,telephone,43,1,failure,no
312,36,admin.,divorced,secondary,no,1224,yes,no,cellular,482,1,success,yes
313,43,blue-collar,married,secondary,no,408,yes,no,unknown,6,1,other,no
314,64,retired,married,secondary,no,588,no,no,cellular,366,1,failure,yes
315,45,technician,divorced,secondary,no,982,yes,no,cellular,123,2,success,no
316,29,entrepreneur,married,secondary,no,422,yes,no,cellular,69,3,failure,no
317,34,student,single,unknown,no,242,no,no,telephone,364,2,failure,no
318,27,blue-collar,single,tertiary,no,567,no,no,cellular,238,2,success,yes
319,55,admin.,divorced,secondary,no,-288,yes,no,cellular,62,4,failure,no
320,33,technician,married,secondary,no,0,yes,no,cellular,176,2,failure,no
321,27,blue-collar,married,secondary,no,1600,yes,no,cellular,603,2,failure,no
322,80,retired,married,primary,no,997,no,no,cellular,746,2,other,yes
323,40,blue-collar,married,secondary,no,750,yes,yes,cellular,340,1,failure,no
324,44,management,married,tertiary,no,58,yes,no,cellular,48,1,failure,no
325,34,admin.,single,tertiary,no,18,yes,no,cellular,285,1,other,no
326,48,management,married,unknown,no,0,yes,no,cellular,612,1,other,no
327,34,blue-collar,divorced,secondary,no,176,yes,no,cellular,67,1,failure,no
328,38,management,married,tertiary,no,1477,no,no,cellular,385,3,failure,yes
329,43,admin.,divorced,secondary,no,738,yes,no,cellular,585,4,failure,no
330,36,management,married,tertiary,no,0,yes,no,cellular,103,1,failure,no
331,37,technician,married,secondary,no,5287,yes,yes,cellular,599,4,failure,no
332,33,entrepreneur,married,tertiary,no,964,yes,no,cellular,97,1,failure,no
333,28,technician,single,tertiary,no,4987,no,no,cellular,924,2,success,yes
334,35,blue-collar,single,secondary,no,142,yes,no,cellular,293,2,failure,no
335,38,services,divorced,primary,no,0,yes,no,cellular,250,1,failure,no
336,28,technician,single,unknown,no,0,yes,no,cellular,96,1,failure,yes
337,50,blue-collar,married,primary,no,953,yes,no,cellular,315,1,failure,no
338,44,management,single,tertiary,no,483,no,no,cellular,207,2,success,yes
339,37,blue-collar,married,primary,no,403,yes,no,cellular,318,2,success,no
340,50,admin.,single,primary,no,181,yes,no,cellular,119,4,failure,no
341,79,retired,married,secondary,no,723,no,no,telephone,276,1,failure,yes
342,43,management,divorced,tertiary,no,497,no,no,cellular,66,1,failure,no
343,26,admin.,single,tertiary,no,760,yes,no,cellular,456,2,success,yes
344,49,management,single,secondary,no,61,yes,no,cellular,185,2,failure,no
345,33,technician,married,secondary,no,0,yes,no,cellular,56,1,failure,no
346,40,technician,married,tertiary,no,253,yes,no,cellular,377,4,other,no
347,31,blue-collar,married,secondary,no,360,yes,yes,cellular,89,1,failure,no
348,28,services,single,secondary,no,1636,yes,no,cellular,97,1,failure,no
349,33,self-employed,married,tertiary,no,1676,yes,no,cellular,102,2,failure,no
350,30,management,single,tertiary,no,112,yes,yes,cellular,451,2,failure,no
351,48,technician,married,secondary,no,568,yes,no,cellular,378,2,success,yes
352,31,admin.,single,secondary,no,410,no,no,cellular,182,1,success,yes
353,41,blue-collar,married,secondary,no,-217,yes,no,cellular,313,1,other,no
354,56,management,married,tertiary,no,935,yes,no,cellular,209,2,failure,no
355,47,blue-collar,married,primary,no,2269,yes,no,cellular,132,1,failure,no
356,30,admin.,divorced,secondary,no,891,no,no,cellular,340,2,failure,no
357,31,student,single,tertiary,no,4951,no,no,cellular,285,3,failure,yes
358,45,management,married,tertiary,no,1788,no,no,cellular,364,1,failure,no
359,60,management,married,tertiary,no,3401,no,no,cellular,121,1,success,no
360,48,technician,married,primary,no,1375,yes,yes,cellular,73,1,failure,no
361,36,admin.,married,secondary,no,953,yes,no,cellular,77,1,failure,no
362,56,services,married,secondary,no,1989,no,no,cellular,279,4,success,yes
363,27,blue-collar,single,secondary,no,535,no,no,cellular,171,1,success,yes
364,53,management,married,tertiary,no,3634,no,no,cellular,211,4,success,yes
365,34,blue-collar,married,secondary,no,1988,yes,no,telephone,53,1,failure,no
366,29,admin.,married,secondary,no,2121,no,no,cellular,281,1,other,no
367,51,blue-collar,married,secondary,no,160,yes,no,cellular,136,1,failure,no
368,38,blue-collar,married,secondary,no,757,yes,no,cellular,133,1,failure,no
369,28,blue-collar,single,secondary,no,-46,yes,no,cellular,525,1,failure,yes
370,26,management,single,tertiary,no,170,no,no,cellular,160,2,success,no
371,46,management,single,secondary,no,5993,no,no,cellular,159,1,failure,no
372,42,unemployed,married,primary,no,2636,no,no,cellular,178,2,failure,no
373,29,services,single,secondary,no,102,no,no,cellular,111,1,failure,no
374,38,management,divorced,tertiary,no,637,yes,no,cellular,295,2,other,no
375,44,services,married,secondary,no,-236,yes,no,cellular,218,2,success,no
376,30,unemployed,single,tertiary,no,306,no,no,cellular,90,6,failure,no
377,59,management,married,primary,no,252,yes,yes,cellular,138,1,failure,no
378,30,management,single,tertiary,no,640,no,no,cellular,124,4,failure,no
379,61,management,married,tertiary,no,175,no,no,telephone,79,2,success,no
380,37,admin.,single,secondary,no,16,no,no,cellular,488,5,failure,no
381,58,retired,single,secondary,no,1640,no,yes,cellular,72,6,failure,no
382,47,admin.,married,primary,no,31,yes,no,cellular,50,1,failure,no
383,33,admin.,married,secondary,no,2468,yes,yes,cellular,84,1,failure,no
384,38,management,married,tertiary,no,1198,yes,no,cellular,91,3,failure,no
385,28,admin.,married,secondary,no,1595,no,no,cellular,268,1,success,yes
386,54,self-employed,married,primary,no,277,yes,no,cellular,300,5,failure,no
